county,Sub_County,Ward,Latitude,Longitude,Locality,Start_Outbreak_Event,Report_Date,Disease_Condition,Nature_of_Diagnosis,Test_Used,Species_Affected,Number_at_Risk,Number_Sick,Number_Dead,Number_Slaughtered,Number_Destroyed,Production_System,Number_Humans_Affected_zoonosis,Disease_Control_Method,Number_Vaccinated,Organisation_GOK_Private,Source
Marsabit,Moyale,Butiye,3.51115348,38.9736606,Village/Farm,1/2/2024,1/14/2024,Metritis,Clinical,,Cattle,0,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Obbu,3.0356238,38.8913403,Village/Farm,1/3/2024,1/14/2024,Retained Placenta ,Clinical,,Cattle,1,1,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.4780523,38.539013,Village/Farm,1/3/2024,1/15/2024,Helminthiasis,Clinical,,Cattle,8,1,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.37678,38.354267,Village/Farm,1/4/2024,1/16/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,8,2,0,0,0,Extensive,0,"[Vaccination, Treatment, Isolation]",0,GOK,KABS
Marsabit,Saku,Sagante/Jaldesa,2.425823,38.040773,Crush,12/15/2023,12/15/2023,Foot and Mouth Disease (FMD),Clinical,,Cattle,100,15,0,0,0,Extensive,0,"[Treatment, Other]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.431099,39.207182,Village/Farm,1/5/2024,1/14/2024,Trypanosomiasis,Clinical,,Cattle,6,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5274506,39.0601677,Clinic,1/3/2024,1/13/2024,Helminthiasis,Clinical,,Goats,58,7,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,1/4/2024,1/16/2024,Helminthiasis,Clinical,,Cattle,0,4,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.511115348,38.9736606,Village/Farm,1/3/2024,1/12/2024,Wound ,Clinical,,Cattle,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.323503,38.47347,Village/Farm,1/5/2024,1/14/2024,East Coast Fever(ECF),Clinical,,Cattle,2,1,0,0,0,Extensive,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.34111,39.204077,Village/Farm,1/3/2024,1/13/2024,Helminthiasis,Post Mortem,,Cattle,0,0,0,3,0,,0,Condemned Affected Liver,0,GOK,KABS
Marsabit,Moyale,Sololo,3.59649,38.622327,Village/Farm,1/2/2024,1/9/2024,Poisoning,Clinical,,Goats,78,0,2,0,2,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Golbo,3.469026,39.238878,Village/Farm,1/1/2024,1/4/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,200,4,0,0,0,,0,"[Treatment, Isolation]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.429752,39.2424761,Village/Farm,1/4/2024,1/5/2024,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,246,5,0,0,0,Extensive,0,"[Treatment, Vaccination]",241,GOK,KABS
Marsabit,Moyale,Golbo,3.327542,39.221995,Village/Farm,1/5/2024,1/16/2024,Helminthiasis,Post Mortem,,Cattle,4,1,0,4,0,,,Partial Condemnation,0,GOK,KABS
Marsabit,Moyale,Sololo,3.5642653,38.6436442,Clinic,1/3/2024,1/11/2024,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,125,5,1,0,0,Extensive,0,"[Treatment, Vaccination]",120,GOK,KABS
Marsabit,Moyale,Uran,3.607917,38.103166,Village/Farm,1/5/2024,1/16/2024,East Coast Fever(ECF),Clinical,,Cattle,1,1,0,0,0,,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Uran,3.513208,38.632644,Village/Farm,1/4/2024,1/15/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,3,1,0,0,0,Mixed,0,"[Vaccination, Treatment, Vector Control, Isolation]",2,GOK,KABS
Marsabit,Moyale,Uran,3.43544,38.352826,Village/Farm,1/5/2024,1/16/2024,Foot and Mouth Disease (FMD),Clinical,,Cattle,200,10,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Marsabit,Moyale,Butiye,3.45418446,38.92760756,Village/Farm,1/6/2024,1/12/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,1,1,0,0,0,Intensive,0,[Vaccination],1,GOK,KABS
Marsabit,Moyale,Butiye,3.51115348,38.9736606,Village/Farm,1/3/2024,1/16/2024,Enterotoxaemia,Clinical,,Goats,3,2,0,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/5/2024,1/16/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,2,1,0,0,0,Intensive,0,[Vaccination],0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/4/2024,1/14/2024,Brucellosis,Clinical,,Goats,32,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/4/2024,1/7/2024,Brucellosis,Clinical,,Goats,29,5,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/4/2024,1/16/2024,Helminthiasis,Clinical,,Cattle,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.5642653,38.6436442,Clinic,1/2/2024,1/13/2024,Contagious Bovine Pleuropneumonia (CBPP),Clinical,,Cattle,5,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/4/2024,1/15/2024,Brucellosis,Clinical,,Goats,22,4,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.43649072,38.97473103,Village/Farm,1/5/2024,1/14/2024,Contagious Bovine Pleuropneumonia (CBPP),Clinical,,Cattle,6,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Sololo,3.592518,38.622327,Village/Farm,1/3/2024,1/13/2024,Trypanosomiasis,Clinical,,Camel,7,3,1,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,1/4/2024,1/10/2024,Brucellosis,Clinical,,Camel,39,7,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.51115348,38.9736606,Village/Farm,1/1/2024,1/13/2024,Acds,Clinical,,Camel,9,5,1,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Laisamis,Laisamis,1.5898864,37.8019664,Village/Farm,1/7/2024,1/16/2024,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,51,8,2,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.3780533,39.0324832,Village/Farm,1/2/2024,1/8/2024,Brucellosis,Clinical,,Goats,33,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.3780533,39.0324832,Village/Farm,1/2/2024,1/16/2024,Brucellosis,Clinical,,Goats,73,7,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Samburu,Samburu East,Wamba East,0.977315,37.31756167,Village/Farm,12/9/2023,12/9/2023,Flea Allergy Dermatitis,Clinical,,Dogs,0,0,0,0,0,,0,[No Action],0,GOK,KABS
Marsabit,Laisamis,Laisamis,1.5884849,37.7996433,Village/Farm,1/7/2024,1/16/2024,Heart Water,Clinical,,Cattle,19,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.51115348,38.9736606,Market,1/6/2024,1/8/2024,Brucellosis,Clinical,,Goats,63,5,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.551126,38.643972,Village/Farm,1/6/2024,1/4/2024,ORF,Clinical,,Goats,28,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,1/7/2024,1/8/2024,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,13,2,3,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.452485,38.515005,Village/Farm,1/8/2024,1/9/2024,Brucellosis,Clinical,,Goats,27,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489085,38.241528,Village/Farm,1/7/2024,1/17/2024,Abscess,Post Mortem,,Goats,0,0,0,12,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,North Horr,Turbi,2.558487,38.0609965,Village/Farm,1/4/2024,1/16/2024,Fructure,Clinical,,Cattle,7,1,0,0,0,Mixed,,[No Action],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5238827,39.05626,Village/Farm,1/3/2024,1/12/2024,Fracture Of Tibia And Fibula,Clinical,,Goats,0,0,0,0,0,Extensive,0,[No Action],1763,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5238827,39.05626,Village/Farm,1/4/2024,1/14/2024,Brucellosis,Clinical,,Goats,42,8,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Heillu/Manyatta,3.5265432,39.0683079,Village/Farm,1/1/2024,1/17/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,3,1,0,4,0,,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.5276022,39.0431312,Village/Farm,1/5/2024,1/13/2024,Skin Abscess ,Clinical,,Goats,0,0,0,0,0,Extensive,0,[Treatment],1763,GOK,KABS
Marsabit,North Horr,North Horr,0,0,Village/Farm,1/8/2024,1/10/2024,Trypanosomiasis,Clinical,,Camel,13,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Turbi,0,0,Village/Farm,1/8/2024,1/3/2024,Peste des Petit Ruminants (PPR),Clinical,,Goats,129,8,3,0,1,Extensive,0,[Vaccination],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5221449,39.0524799,Crush,1/6/2024,1/15/2024,Ephemeral Fever ,Clinical,,Cattle,4,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.452485,38.515005,Village/Farm,1/7/2024,1/10/2024,Haemorrhagic septicemia,Clinical,,Camel,47,3,2,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5203629,39.0614702,Village/Farm,1/7/2024,1/16/2024,Coccidiosis,Clinical,,Cattle,2,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.518121,38.176427,Village/Farm,1/8/2024,1/4/2024,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,786,23,1,0,0,Extensive,,"[Treatment, Isolation]",0,GOK,KABS
Marsabit,Moyale,Heillu/Manyatta,3.5238827,39.05626,Village/Farm,1/8/2024,1/12/2024,Contagious Ecthyma,Clinical,,Goats,0,0,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Garissa,Lagdera,Goreale,0.45641,39.74472,Crush,10/10/2023,10/10/2023,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,500,12,1,0,0,Extensive,0,[Treatment],0,GOK,KABS
Taita Taveta,Taveta,Mboghoni,-3.444635,37.59149167,Village/Farm,12/20/2022,12/20/2022,Anaplasmosis,Clinical,,Cattle,3,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5271026,39.0598354,Clinic,1/7/2024,1/17/2024,Trypanosomiasis,Post Mortem,,Cattle,3,1,0,3,0,,,Partial Condemnation,0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5270952,39.0598218,Clinic,1/9/2024,1/17/2024,Colic,Clinical,,Donkey,1,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Maikona,3.1334026,37.4262785,Village/Farm,1/10/2024,1/14/2024,Helminthiasis,Clinical,,Goats,0,0,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Maikona,3.1334026,37.4262785,Village/Farm,1/9/2024,1/13/2024,Ectoparasite Infestation ,Clinical,,Goats,0,0,0,0,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5276113,39.0431177,Village/Farm,1/2/2024,1/15/2024,Animal bites,Clinical,,Dogs,0,0,0,0,0,,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.445269,38.2339338,Village/Farm,1/9/2024,1/9/2024,Brucellosis,Clinical,,Camel,37,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.149389,39.240794,Village/Farm,1/8/2024,1/8/2024,Mastitis,Clinical,,Goats,8,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.149389,39.240794,Village/Farm,1/9/2024,1/17/2024,Pg,Clinical,,Cattle,0,0,0,0,0,Intensive,0,Pregnancy Diagnosis,0,GOK,KABS
Marsabit,Moyale,Uran,3.4912278,38.2439095,Village/Farm,1/9/2024,1/16/2024,Acute Camel Death Syndrome ,Clinical,,Camel,25,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Turbi,3.2978203,38.3753375,Village/Farm,1/11/2024,1/17/2024,Helminthiasis,Clinical,,Cattle,5,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Turbi,3.2978203,38.3753375,Village/Farm,1/11/2024,1/17/2024,Helminthiasis,Clinical,,Sheep,6,6,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Maikona,3.1334026,37.4262785,Village/Farm,1/11/2024,1/17/2024,Pneumonia,Clinical,,Goats,39,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Samburu,Samburu East,Wamba East,0.9790203,37.3147508,Village/Farm,12/26/2023,12/26/2023,Helminthiasis,Clinical,,Goats,41,1,0,0,0,Extensive,,"[Treatment, Vaccination]",0,GOK,KABS
Taita Taveta,Taveta,Mboghoni,-3.44428,37.59192,Village/Farm,12/16/2023,12/16/2023,Trypanosomiasis,Clinical,,Cattle,3,1,0,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,North Horr,Illeret,4.186,36.126,Village/Farm,1/11/2024,1/17/2024,Cutenous Myiasis,Clinical,,Dogs,0,7,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Taita Taveta,Taveta,Mboghoni,-3.444241667,37.592045,Village/Farm,12/18/2023,12/18/2023,Helminthiasis,Clinical,,Cattle,5,1,1,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Garissa,Balambala,Danyere,0.3000075,38.7526892,Crush,12/19/2023,12/19/2023,Brucellosis,Clinical,,Camel,46,12,1,0,0,Extensive,0,"[Vector Control, Isolation]",0,GOK,KABS
Marsabit,North Horr,Maikona,3.1322076,37.4306159,Village/Farm,1/11/2024,1/17/2024,Mastitis,Clinical,,Cattle,2,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.37679,38.35428,Village/Farm,1/8/2024,1/17/2024,Trypanosomiasis,Clinical,,Cattle,7,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Obbu,3.3521408,38.7442919,Village/Farm,1/1/2024,1/17/2024,Taeniosis,Clinical,,Pigs,1,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.604556,38.5196428,Village/Farm,1/3/2024,1/8/2024,Goat Pox,Clinical,,Goats,89,7,0,0,0,Mixed,0,[Vaccination],82,GOK,KABS
Marsabit,Moyale,Obbu,3.5636792,38.6452829,Village/Farm,1/11/2024,1/9/2024,Rabies,Clinical,,Dogs,0,1,0,0,0,Mixed,0,[Stamping Out],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5219493,39.0563774,Village/Farm,1/11/2024,1/17/2024,Foot and Mouth Disease (FMD),Clinical,,Cattle,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.445099,38.9552289,Village/Farm,1/4/2024,1/8/2024,Sheep Pox,Clinical,,Sheep,51,3,0,0,0,Mixed,0,[Vaccination],45,GOK,KABS
Marsabit,Moyale,Butiye,3.437135,38.974851,Village/Farm,1/10/2024,1/15/2024,Eye Infection,Clinical,,Cattle,8,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.445099,38.9552289,Village/Farm,1/6/2024,1/1/2024,Helminthiasis,Clinical,,Goats,48,4,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.445099,38.9552289,Village/Farm,1/7/2024,1/14/2024,Pneumonia,Clinical,,Sheep,14,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5140286,39.0526778,Village/Farm,1/5/2024,1/7/2024,Not Confirmed Yet,Clinical,,Goats,60,7,0,0,0,Extensive,0,Sample Collected From 4 Aborted Goats To Be submitted To Cvl,0,GOK,KABS
Marsabit,Moyale,Uran,3.599692,38.528485,Village/Farm,1/2/2024,1/16/2024,Trypanosomiasis,Clinical,,Cattle,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/10/2024,1/15/2024,Rabies,Clinical,,Dogs,2,0,2,0,2,,0,"[Vaccination, Quarantine, Isolation]",2,GOK,KABS
Taita Taveta,Taveta,Mboghoni,-3.505943333,37.70425833,Village/Farm,12/17/2023,12/17/2023,Babesiosis ,Clinical,,Cattle,8,2,4,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/9/2024,1/16/2024,Upper respiratory infections,Clinical,,Cats,2,1,0,0,0,,0,"[Treatment, Vaccination, Isolation]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.13488485,39.25624094,Village/Farm,1/10/2024,1/15/2024,Brucellosis,Clinical,,Goats,3,5,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.4724218,39.0985804,Village/Farm,1/5/2024,1/18/2024,Septic Wounds,Clinical,,Pigs,5,1,0,0,0,Intensive,0,"[Treatment, Isolation]",0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/7/2024,1/17/2024,East Coast Fever(ECF),Clinical,,Cattle,0,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/6/2024,1/16/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,3,4,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/1/2024,1/13/2024,Foot Rot,Clinical,,Cattle,3,1,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/6/2024,1/15/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,Intensive,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/4/2024,1/17/2024,East Coast Fever(ECF),Clinical,,Cattle,0,1,0,0,0,Mixed,,[Vector Control],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,1/7/2024,1/18/2024,Cut Wound ,Clinical,,Donkey,0,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.528278333,39.039925,Abattoir,1/6/2024,1/17/2024,Helminthiasis,Clinical,,Sheep,5,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.531573333,39.04084333,Abattoir,1/11/2024,1/18/2024,Epmiral Fever ,Clinical,,Cattle,5,1,0,0,0,Mixed,1,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.53048,39.04147333,Abattoir,1/8/2024,1/1/2024,Black Quarter,Clinical,,Cattle,4,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.531321667,39.04091833,Abattoir,1/11/2024,1/16/2024,Pneumonia,Clinical,,Cattle,3,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.529743333,39.03997833,Abattoir,1/12/2024,1/12/2024,Anaplasmosis ,Clinical,,Goats,7,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.52973,39.04074667,Abattoir,1/8/2024,1/15/2024,Trypanosomiasis,Clinical,,Goats,3,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.50883,39.04766833,Abattoir,1/9/2024,1/13/2024,East Coast Fever(ECF),Clinical,,Cattle,0,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.37678,38.354267,Village/Farm,1/4/2024,1/10/2024,Enterotoxaemia,Post Mortem,,Sheep,80,0,1,0,1,Extensive,0,[Vaccination],0,GOK,KABS
Marsabit,Moyale,Heillu/Manyatta,3.526527,39.0686335,Village/Farm,1/12/2024,1/16/2024,Sores Around The Gums,Clinical,,Dogs,2,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.3764775,38.3542106,Village/Farm,1/6/2024,1/12/2024,East Coast Fever(ECF),Clinical,,Cattle,1,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.368272,38.34669,Village/Farm,1/2/2024,1/12/2024,Helminthiasis,Clinical,,Sheep,9,9,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,12/20/2023,12/20/2023,Animal bites,Clinical,,Cattle,14,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.530073333,39.04120833,Abattoir,1/6/2024,1/18/2024,East Coast Fever(ECF),Clinical,,Cattle,7,2,1,0,0,Extensive,0,"[Vaccination, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,12/25/2022,12/25/2022,Helminthiasis,Clinical,,Sheep,12,12,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.43544,38.352826,Village/Farm,1/8/2024,1/13/2024,orf,Clinical,,Sheep,9,5,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,1/3/2024,1/1/2024,Trypanosomiasis,Clinical,,Camel,11,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5218158,39.0526514,Village/Farm,1/9/2024,1/6/2024,Caseous Lymphad,Clinical,,Goats,19,3,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Laisamis,Loiyangalani,2.4924374,36.8241862,Village/Farm,1/12/2024,1/7/2024,Heart Water,Clinical,,Sheep,12,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.431099,39.207182,Village/Farm,1/10/2024,1/13/2024,Animal bites,Clinical,,Cattle,10,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.6048091,38.5196428,Village/Farm,1/12/2024,1/1/2024,Brucellosis,Clinical,,Goats,19,3,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.155705,38.578925,Village/Farm,12/31/2023,12/31/2023,Heart Water,Clinical,,Goats,19,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.327542,39.221995,Village/Farm,1/9/2024,1/8/2024,Brucellosis,Clinical,,Cattle,10,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.34111,39.204077,Village/Farm,1/9/2024,1/14/2024,Helminthiasis,Clinical,,Goats,14,14,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5270668,39.0829577,Village/Farm,1/10/2024,1/13/2024,Heart Water,Clinical,,Goats,14,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.34111,39.204077,Village/Farm,1/6/2024,1/15/2024,Trypanosomiasis,Clinical,,Camel,6,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5160997,39.0614702,Village/Farm,1/5/2024,1/9/2024,Brucellosis,Clinical,,Goats,14,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.327542,39.221995,Village/Farm,1/7/2024,1/13/2024,Helminthiasis,Clinical,,Goats,46,6,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5094664,39.0536548,Village/Farm,1/13/2024,1/16/2024,Retained Afterbirth,Clinical,,Goats,0,0,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5094664,39.0536548,Village/Farm,1/13/2024,1/16/2024,Animal bites,Clinical,,Sheep,0,0,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.446285,39.171518,Village/Farm,1/9/2024,1/13/2024,Brucellosis,Clinical,,Goats,68,5,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.530755,39.04118167,Abattoir,1/13/2024,1/4/2024,Helminthiasis ,Clinical,,Camel,6,6,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.437134,38.974849,Village/Farm,1/13/2024,1/16/2024,Pink Eye,Clinical,,Goats,16,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.530796667,39.04118667,Abattoir,1/15/2024,1/8/2024,Pneumonia,Clinical,,Cattle,10,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5097171,39.0536548,Village/Farm,1/15/2024,1/10/2024,Helminthiasis,Clinical,,Goats,58,0,0,0,0,Extensive,0,[Treatment],2756,GOK,KABS
Marsabit,Moyale,Golbo,3.5097171,39.0536548,Village/Farm,1/15/2024,1/14/2024,Trypanosomiasis,Clinical,,Goats,28,2,1,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5097171,39.0536548,Village/Farm,1/15/2024,1/11/2024,Brucellosis,Clinical,,Sheep,42,8,2,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.5097171,39.0536548,Village/Farm,1/15/2024,1/19/2024,Newcastle Disease (NCD),Clinical,,Chicken,39,22,4,0,4,Intensive,,"[Vaccination, Treatment]",0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5270912,39.0598312,Clinic,1/7/2024,1/19/2024,Pneumonia,Clinical,,Goats,0,0,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5270922,39.0598305,Clinic,1/12/2024,1/19/2024,Helminthiasis,Post Mortem,,Goats,0,2,0,8,0,,0,Slaughter,0,GOK,KABS
