county,Disease/ Condition,Number at Risk
Taita Taveta,Acute Trypanosomiasis,2
Samburu,Peste des Petit Ruminants (PPR),141
Taita Taveta,Trypanosomiasis,3
Busia,Anaplasmosis,4
Samburu,Foot and Mouth Disease (FMD),24
West Pokot,East Coast Fever(ECF),4
Samburu,Pneumonia,12
Kitui,Contagious Caprine Pleuropneumonia (CCPP),0
Busia,Trypanosomiasis,3
Samburu,Foot and Mouth Disease (FMD),500
Samburu,Peste des Petit Ruminants (PPR),234
Busia,Lumpy Skin Disease (LSD),3
Samburu,Foot and Mouth Disease (FMD),58
Makueni,Pneumonia,14
Narok,Helminthiasis,280
Makueni,Hydatid Cyst,1
Samburu,Foot and Mouth Disease (FMD),94
Samburu,Foot and Mouth Disease (FMD),3
Samburu,Bloat ,15
Kakamega,East Coast Fever(ECF),8
Kwale,Trypanosomiasis,2
Taita Taveta,East Coast Fever(ECF),5
Siaya,Anaplasmosis,1
Narok,East Coast Fever(ECF),86
Taita Taveta,Mange,9
West Pokot,Peste des Petit Ruminants (PPR),4000
Taita Taveta,Anaplasmosis,7
Siaya,Heart Water,1
Siaya,Lumpy Skin Disease (LSD),0
Makueni,Heamoligic Septicemia ,1
West Pokot,Helminthiasis,0
Kwale,Trypanosomiasis,0
Vihiga,0,6
Kwale,Abscess ,4
Kwale,East Coast Fever(ECF),0
Samburu,Foot and Mouth Disease (FMD),87
Vihiga,Helminthiasis,2
Kwale,Anaplasmosis,0
Vihiga,Canine Distemper (CD),1
Samburu,Foot and Mouth Disease (FMD),231
Vihiga,Helminthiasis,5
Tana River,Contagious Bovine Pleuropneumonia (CBPP),32
Vihiga,Anaplasmosis,4
Samburu,Peste des Petit Ruminants (PPR),600
Turkana,Contagious Caprine Pleuropneumonia (CCPP),154
West Pokot,East Coast Fever(ECF),5
Samburu,Foot and Mouth Disease (FMD),342
West Pokot,Anaplasmosis,7
Narok,Sheep scab,18
Tana River,Trypanosomiasis,750
Makueni,Foot and Mouth Disease (FMD),27
Taita Taveta,Pneumonia,3
Tana River,Foot and Mouth Disease (FMD),800
Makueni,Trypanosomiasis,4
Tana River,Anaplasmosis,650
Makueni,Helminthiasis,0
Makueni,Helminthiasis,7
Vihiga,Pneumonia,68
Tana River,Haemorrhagic septicemia,300
Vihiga,Pneumonia,38
Taita Taveta,Helminthiasis,0
Tana River,Pneumonia,500
Taita Taveta,Pneumonia,0
Vihiga,Pneumonia,49
Makueni,Trypanosomiasis,2
Vihiga,Pneumonia,53
Vihiga,Pneumonia,67
Taita Taveta,Pneumonia,0
Tana River,Pneumonia,57
Busia,Mastitis ,6
Vihiga,Pneumonia,56
Tana River,Pneumonia,62
Tana River,Pneumonia,35
Vihiga,Pneumonia,38
Vihiga,Pneumonia,53
Lamu,Lumpy Skin Disease (LSD),4
Vihiga,Pneumonia,68
Narok,Animal bites,90
Vihiga,Pneumonia,64
Samburu,Peste des Petit Ruminants (PPR),79
Garissa,Contagious Caprine Pleuropneumonia (CCPP),276
Vihiga,Pneumonia,49
Garissa,Contagious Caprine Pleuropneumonia (CCPP),361
Tana River,Contagious Caprine Pleuropneumonia (CCPP),62
Taita Taveta,Trypanosomiasis,3
Vihiga,Pneumonia,59
Busia,Anaplasmosis,2
Kitui,Helminthiasis,0
Tana River,Injury,53
Makueni,Coccidosis,5
Tana River,Helminthiasis,59
Garissa,Lumpy Skin Disease (LSD),789
Samburu,Auricular Hematoma ,0
Busia,Black Quarter,4
Turkana,Contagious Caprine Pleuropneumonia (CCPP),79
Makueni,Lumpy Skin Disease (LSD),20
Samburu,Foot Rot,63
Marsabit,Foot Rot,41
Turkana,Camel Pox,21
Makueni,Animal bites,2
Marsabit,Peste des Petit Ruminants (PPR),6
Marsabit,Peste des Petit Ruminants (PPR),23
Busia,Lumpy Skin Disease (LSD),7
Makueni,Mange,1
Kakamega,Enterotoxaemia,2
Marsabit,Foot Rot,24
Marsabit,Pneumonia,44
Marsabit,Mastitis ,27
Taita Taveta,Anaplasmosis,0
Marsabit,Brucellosis,71
Marsabit,Helminthiasis,19
Marsabit,Foot Rot,45
Marsabit,Brucellosis,40
Marsabit,Coccidosis,24
Marsabit,Fever,62
Marsabit,Brucellosis,13
Marsabit,Pneumonia,35
Samburu,Tick Infestation ,13
Marsabit,Brucellosis,25
Samburu,Anaplasmosis,29
Makueni,Lumpy Skin Disease (LSD),3
Busia,Fowl Pox,41
West Pokot,Fungul,1
Marsabit,Rabies,15
West Pokot,East Coast Fever(ECF),7
Tharaka-Nithi,Lumpy Skin Disease (LSD),3
Marsabit,Helminthiasis,40
Marsabit,Rabies,100
Taita Taveta,Uterine Prolapse,1
Marsabit,Foot and Mouth Disease (FMD),24
Marsabit,Tetanus,40
Marsabit,East Coast Fever(ECF),8
Marsabit,Animal bites,200
Marsabit,Infectious Bronchitis,12
Taita Taveta,Trypanosomiasis,2
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),46
Makueni,Babesiosis ,0
Nyandarua,Foot and Mouth Disease (FMD),2
Busia,Trypanosomiasis,8
Taita Taveta,East Coast Fever(ECF),1
Taita Taveta,Anaplasmosis,0
Kwale,Contagious Caprine Pleuropneumonia (CCPP),40
Kwale,Trypanosomiasis,25
Kakamega,East Coast Fever(ECF),4
Marsabit,Pneumonia ,2
Taita Taveta,Fowl typhoid ,40
Marsabit,Peste des Petit Ruminants (PPR),11
Kwale,Trypanosomiasis,10
Lamu,Choke,20
Samburu,Humeral Fracture,0
Samburu,Foot and Mouth Disease (FMD),139
Taita Taveta,Helminthiasis,2
Kwale,Trypanosomiasis,4
Kwale,Trypanosomiasis,4
Marsabit,Heart Water,8
Marsabit,Helminthiasis,24
Marsabit,Rabies,8
Makueni,Helminthiasis,1
Makueni,Mange,3
West Pokot,East Coast Fever(ECF),2
Garissa,Peste des Petit Ruminants (PPR),300
Taita Taveta,Anaplasmosis,1
Kwale,Trypanosomiasis,2
Marsabit,Pneumonia ,1
Marsabit,Haemorrhagic septicemia,12
Makueni,Foot and Mouth Disease (FMD),35
Narok,Helminthiasis,85
West Pokot,Anaplasmosis,2
Kilifi,Pneumonia,31
Samburu,Dermatomycosis,0
Makueni,Tetanus,3
Taita Taveta,East Coast Fever(ECF),0
Marsabit,Peste des Petit Ruminants (PPR),61
Makueni,Lumpy Skin Disease (LSD),30
Marsabit,Peste des Petit Ruminants (PPR),18
Marsabit,Peste des Petit Ruminants (PPR),25
Marsabit,Wound,2
Marsabit,Pneumonia,3
Taita Taveta,Enteritis 0,5
Marsabit,Actinomycosis ,20
Marsabit,Mastitis ,11
Marsabit,Mastitis ,6
Taita Taveta,Footrot,4
Marsabit,Helminthiasis,43
Marsabit,Footrot,16
Marsabit,Brucellosis,41
Taita Taveta,Trypanosomiasis,13
Marsabit,Helminthiasis,0
Turkana,0,19
Kajiado,Lumpy Skin Disease (LSD),76
Marsabit,Helminthiasis,0
Laikipia,Lumpy Skin Disease (LSD),200
Marsabit,Helminthiasis,0
Samburu,Sheep Pox,283
Marsabit,Mange,60
Taita Taveta,Johnes Disease,0
Marsabit,Peste des Petit Ruminants (PPR),45
Tharaka-Nithi,Foot and Mouth Disease (FMD),7
Kitui,Heart Water,6
Taita Taveta,Foot Rot,1
Makueni,Lumpy Skin Disease (LSD),3
Marsabit,Peste des Petit Ruminants (PPR),61
Marsabit,Peste des Petit Ruminants (PPR),57
Taita Taveta,Infectious Coryza ,40
Marsabit,Peste des Petit Ruminants (PPR),56
Samburu,Helminthiasis,28
Samburu,Peste des Petit Ruminants (PPR),317
Samburu,Mange,47
Narok,East Coast Fever(ECF),16
Taita Taveta,East Coast Fever(ECF),0
Busia,Anaplasmosis,3
Nyeri,Foot and Mouth Disease (FMD),1
Taita Taveta,Foot rot,0
Garissa,Foot and Mouth Disease (FMD),30
Samburu,Peste des Petit Ruminants (PPR),76
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,East Coast Fever(ECF),1
Taita Taveta,Diarrhoea,4
Taita Taveta,0,2
Taita Taveta,Trypanosomiasis DDx Mineral Deficiency,2
Taita Taveta,Trypanosomiasis,2
Marsabit,Peste des Petit Ruminants (PPR),26
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,Trypanosomiasis,3
Siaya,Rabies,6
Samburu,Helminthiasis,47
Taita Taveta,Mastitis,0
Marsabit,Coccidosis,16
Marsabit,Helminthiasis,14
Marsabit,Sheep scab,12
Marsabit, Pneumonia ,3
Marsabit,Brucellosis,21
Marsabit,Coccidosis,17
Marsabit,Brucellosis,25
Samburu,Contagious Caprine Pleuropneumonia (CCPP),49
Marsabit,Lymph Swelling ,31
Marsabit,Edema With Pus,17
Marsabit,Foot Rot,39
Marsabit,Heart Water,14
Marsabit,Foot Rot,16
Marsabit,Mange,5
Marsabit,Pullorium disease,14
Marsabit,Peste des Petit Ruminants (PPR),53
Busia,Anaplasmosis,10
Marsabit,Peste des Petit Ruminants (PPR),160
Marsabit,Poisoning,21
Samburu,Contagious Caprine Pleuropneumonia (CCPP),23
Marsabit, Fever ,21
Marsabit,East Coast Fever(ECF),15
Marsabit,Peste des Petit Ruminants (PPR),120
Tharaka-Nithi,Anthrax,5
Samburu,Peste des Petit Ruminants (PPR),156
Samburu,Peste des Petit Ruminants (PPR),47
Samburu,Contagious Caprine Pleuropneumonia (CCPP),256
Samburu,Footh Rot,70
Samburu,Contagious Caprine Pleuropneumonia (CCPP),317
Narok,Contagious Caprine Pleuropneumonia (CCPP),72
Taita Taveta,Warts,0
Samburu,Helminthiasis,53
Turkana,Contagious Caprine Pleuropneumonia (CCPP),50
Taita Taveta,Anaplasmosis,0
Busia,Lumpy Skin Disease (LSD),6
Samburu, N/A,213
Turkana,Helminthiasis,108
Samburu,Pneumonia,163
Samburu,Pneumonia,156
Turkana,Contagious Caprine Pleuropneumonia (CCPP),118
Samburu,Sheep Pox,386
Samburu,Contagious Caprine Pleuropneumonia (CCPP),271
Taita Taveta,Metritis,1
Kajiado,Foot and Mouth Disease (FMD),65
Makueni,Trypanosomiasis,1
Samburu,Peste des Petit Ruminants (PPR),21
Marsabit,Foot and Mouth Disease (FMD),23
Taita Taveta,East Coast Fever(ECF),1
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),9
Marsabit,Peste des Petit Ruminants (PPR),28
Samburu,Pneumonia,74
Samburu,Peste des Petit Ruminants (PPR),1
Marsabit,Trypanosomiasis,16
Makueni,Mange ,10
Marsabit,Wary Neck ,32
Samburu,Contagious Caprine Pleuropneumonia (CCPP),51
Samburu,Peste des Petit Ruminants (PPR),215
Busia,Poisoning,5
Samburu,Contagious Caprine Pleuropneumonia (CCPP),1
Marsabit,Brucellosis,15
West Pokot,Anaplasmosis,3
Marsabit,Helminthiasis,25
Marsabit,Sarcoptic Mange,32
Samburu,Foot and Mouth Disease (FMD),12
West Pokot,Anaplasmosis,7
Samburu,Foot and Mouth Disease (FMD),45
Marsabit,Mange,6
Samburu,Animal bites,0
Marsabit,Infectious Coryza ,16
Kwale,Helminthiasis,6
Marsabit,Infectious Bursai Disease (Gumboro),15
Marsabit,Mange,21
Taita Taveta,Poisoning,1
Makueni,Brucellosis,1
Kwale,Contagious Caprine Pleuropneumonia (CCPP),5
Taita Taveta,Rabies,2
Marsabit,Tetanus,15
Samburu,Contagious Caprine Pleuropneumonia (CCPP),88
Kwale,Heart Water,6
Samburu,Peste des Petit Ruminants (PPR),71
Turkana,Foot Rot,23
Kwale,Pneumonia,0
Trans Nzoia,Black Quarter,0
Nakuru,Lumpy Skin Disease (LSD),3
Kwale,Pneumonia,17
Samburu,Haemorrhagic septicemia,17
Turkana,0,39
Kwale,Contagious Caprine Pleuropneumonia (CCPP),28
Kwale,Helminthiasis,15
Elgeyo/Marakwet,East Coast Fever(ECF),1
Kwale,Contagious Caprine Pleuropneumonia (CCPP),16
Marsabit,Babeosis ,36
Kwale,Pneumonia,15
Migori,Lumpy Skin Disease (LSD),2
Kwale,Kennel cough,2
Kwale,Contagious Caprine Pleuropneumonia (CCPP),18
Kwale,Helminthiasis,16
Busia,Dystocia,1
Kwale,Helminthiasis,4
Nairobi,White Muscle,53
Marsabit,Respiratory Problem ,25
Makueni,Foot and Mouth Disease (FMD),20
Samburu,Foot and Mouth Disease (FMD),7
Samburu,Enterotoxaemia,23
Narok,Lumpy Skin Disease (LSD),50
Narok,East Coast Fever(ECF),80
Nairobi,AFLATOXICOSIS,8
Busia,East Coast Fever(ECF),4
Nairobi,White Bacilary Diarrhoea ,150
Tana River,Helminthiasis,301
Tharaka-Nithi,Foot and Mouth Disease (FMD),3
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),19
Taita Taveta,Mange,1
Nairobi,O,2
Turkana,Contagious Caprine Pleuropneumonia (CCPP),105
Marsabit,Rabies,4
Nairobi,Aflatoxicosis ,2
Taita Taveta,Nerval Illness ,85
Bomet,Foot and Mouth Disease (FMD),20
Vihiga,Clinical Mastitis,15
Nairobi,Aflatoxicosis ,3
Vihiga,Diqrrhoea due lush pasture,20
Tharaka-Nithi,None,1
Tharaka-Nithi,Lumpy Skin Disease (LSD),1
Wajir,None,200
Taita Taveta,Heartwater Disease,3
Busia,East Coast Fever(ECF),4
Samburu,Helminthiasis,0
Vihiga,Heart Water,13
Taita Taveta,Hypocalcaemia,1
Kajiado,Lumpy Skin Disease (LSD),500
Samburu,Contagious Caprine Pleuropneumonia (CCPP),56
Samburu,Sheep scab,49
Samburu,Pneumonia,235
Samburu,Footrot,45
Taita Taveta,Trypanosomiasis,1
Makueni,Lumpy Skin Disease (LSD),2
Makueni,East Coast Fever(ECF),2
Vihiga,Mastitis,0
Samburu,Mange,23
Makueni,East Coast Fever(ECF),9
Samburu,N/A,126
Makueni,Anaplasmosis,14
Isiolo,Footrot,13
Makueni,Newcastle Disease (NCD),350
Makueni,East Coast Fever(ECF),8
Kakamega,East Coast Fever(ECF),2
Isiolo,Pneumonia ,158
Makueni,Fowl Pox,250
Elgeyo/Marakwet,East Coast Fever(ECF),5
Bomet,Foot and Mouth Disease (FMD),6
Makueni,Anaplasmosis,2
Isiolo,Menge,129
Isiolo,Footrot,85
Elgeyo/Marakwet,Footrot,60
Taita Taveta,Uterine Prolapse,1
Makueni,Trypanosomiasis,3
Vihiga,Mange,0
Elgeyo/Marakwet,Anaplasmosis,2
Elgeyo/Marakwet,Pneumonia,105
Isiolo,Abscesses ,0
Elgeyo/Marakwet,Redwater,7
Tana River,Foot and Mouth Disease (FMD),2
Elgeyo/Marakwet,East Coast Fever(ECF),4
Tana River,Contagious Caprine Pleuropneumonia (CCPP),120
Tharaka-Nithi,Foot and Mouth Disease (FMD),3
Bomet,Rabies,50
Samburu,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),1
Makueni,Foot and Mouth Disease (FMD),10
Taita Taveta,Trypanosomiasis,5
Tharaka-Nithi,Foot and Mouth Disease (FMD),5
Tana River,Septicaemia/Salmonella ,75
Narok,East Coast Fever(ECF),24
Samburu,Haemorrhagic septicemia,14
Kakamega,Bee Stings ,0
Turkana,Goat Pox,253
Isiolo,Menge,0
Samburu,Skin Abscess,0
Narok,Helminthiasis,122
Isiolo,Pneumonia ,132
Samburu,Peste des Petit Ruminants (PPR),289
Marsabit,Mange,3
Makueni,Lumpy Skin Disease (LSD),50
Samburu,Peste des Petit Ruminants (PPR),372
Tharaka-Nithi,Lumpy Skin Disease (LSD),10
Samburu,Contagious Caprine Pleuropneumonia (CCPP),52
Taita Taveta,Trypanosomiasis,3
Makueni,Anaplasmosis,3
Taita Taveta,Fowl Typhoid ,45
Isiolo,Helminthiasis,231
Taita Taveta,East Coast Fever(ECF),3
Taita Taveta,Anaplasmosis,2
Taita Taveta,Castration,2
West Pokot,Helminthiasis,0
Turkana,Mange,159
Taita Taveta,Trypanosomiasis,2
Turkana,Sheep scab,258
Kakamega,East Coast Fever(ECF),1
Turkana,Goat Pox,149
Taita Taveta,Helminthiasis,2
Taita Taveta,Helminthiasis,0
Turkana,Orf,58
Turkana,Lumpy Skin Disease (LSD),11
Taita Taveta,Heart Water,5
Samburu,Foot and Mouth Disease (FMD),45
Taita Taveta,Anaplasmosis ,6
Isiolo,Disease Characterized By General Elongation Of Hooves Leading To Lameness,15
Baringo,Foot and Mouth Disease (FMD),33
Kitui,Bovine Ephemeral Fever,3
Samburu,Foot and Mouth Disease (FMD),57
Baringo,Foot and Mouth Disease (FMD),43
Samburu,Helminthiasis,0
Samburu,Peste des Petit Ruminants (PPR),78
Taita Taveta,Clinical Mastitis ,0
Samburu,Contagious Caprine Pleuropneumonia (CCPP),59
Samburu,Helminthiasis,0
Taita Taveta,East Coast Fever(ECF),3
Samburu,Helminthiasis,25
Marsabit,Menge ,1
Samburu,Peste des Petit Ruminants (PPR),112
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),46
Taita Taveta,East Coast Fever(ECF),3
Busia,Enterotoxaemia,4
Taita Taveta,Anaplasmosis,0
Makueni,Anaplasmosis,3
Turkana,Contagious Caprine Pleuropneumonia (CCPP),58
Busia,Traumatic Deep Cut ,3
Vihiga,0,2
Embu,Lumpy Skin Disease (LSD),200
Isiolo,Footrot,212
Samburu,Contagious Caprine Pleuropneumonia (CCPP),156
Samburu,Hemonchosis,94
Makueni,Foot and Mouth Disease (FMD),6
Samburu,Calf Scours,2
Samburu,Peste des Petit Ruminants (PPR),87
Narok,East Coast Fever(ECF),22
Samburu,Contagious Caprine Pleuropneumonia (CCPP),209
Samburu,Contagious Caprine Pleuropneumonia (CCPP),317
Samburu,Peste des Petit Ruminants (PPR),112
Samburu,Helminthiasis,0
Samburu,Camel Pox,34
Makueni,East Coast Fever(ECF),0
Taita Taveta,Anaplasmosis,0
Taita Taveta,Acute Trypanosomiasis,1
Taita Taveta,Pneumonia,0
Samburu,Peste des Petit Ruminants (PPR),256
Makueni,Black Quarter,0
Taita Taveta,Eye Infection/Keratoconjunctivitis,18
Taita Taveta,Anaplasmosis,2
Samburu,Foot and Mouth Disease (FMD),29
Makueni,Trypanosomiasis,6
Taita Taveta,Anaplasmosis,63
Taita Taveta,Trypanosomiasis,1
Taita Taveta,Trypanosomiasis,0
Makueni,Pneumonia,6
Taita Taveta,Acute Trypanosomiasis,1
Makueni,Trypanosomiasis,5
Taita Taveta,Contagious Caprine Pleuropneumonia (CCPP),39
Taita Taveta,Anaplasmosis,14
Samburu,Foot and Mouth Disease (FMD),235
Samburu,Helminthiasis,0
Samburu,Peste des Petit Ruminants (PPR),247
Taita Taveta,Babesiosis,1
Makueni,Helminthiasis,0
Kakamega,Foot and Mouth Disease (FMD),4
Kericho,Rabies,3
Tharaka-Nithi,Foot and Mouth Disease (FMD),1
Tharaka-Nithi,None,2
Taita Taveta,Mange,1
Tharaka-Nithi,Brucellosis ,1
Taita Taveta,Mange,1
Samburu,Foot and Mouth Disease (FMD),21
Kakamega,Mastitis ,1
Marsabit,Pneumonia,60
Marsabit,Brucellosis,23
Tharaka-Nithi,Anaplasmosis,1
Tharaka-Nithi,Foot and Mouth Disease (FMD),3
Tharaka-Nithi,Lumpy Skin Disease (LSD),20
Samburu,Gape Worm,18
Samburu,Infectious Coryza,25
Samburu,Peste des Petit Ruminants (PPR),620
Makueni,Pneumonia,36
Taita Taveta,Trypanosomiasis,3
Marsabit,Trapnomiasis,1
Marsabit,Brucellosis,32
Taita Taveta,Animal bites,3
Tana River,Trypanosomiasis,0
Taita Taveta,Trypanosomiasis,0
Taita Taveta,Entritis,5
Makueni,Mange,0
Busia,Trypanosomiasis,3
Taita Taveta,Heart Water,0
Taita Taveta,Helminthiasis,0
Makueni,Helminthiasis,0
Vihiga,Mastitis/blocked Teat,9
Vihiga,Anaestrus,1
Vihiga,Fowl Pox,100
Makueni,Helminthiasis,6
Taita Taveta,Coccidosis,15
Makueni,Pneumonia,5
Samburu,Contagious Caprine Pleuropneumonia (CCPP),252
Makueni,Pneumonia,32
Busia,Fowl Pox,47
Taita Taveta,Anaplasmosis,1
Taita Taveta,Helminthiasis,1
Samburu,Peste des Petit Ruminants (PPR),136
Nakuru,East Coast Fever(ECF),1
Makueni,Contagious Caprine Pleuropneumonia (CCPP),42
Tana River,Sheep scab,12
Samburu,Foot and Mouth Disease (FMD),153
Makueni,Lumpy Skin Disease (LSD),1
Busia,Pneumonia,3
Samburu,Contagious Caprine Pleuropneumonia (CCPP),312
Taita Taveta,Dystocia,1
Makueni,Lumpy Skin Disease (LSD),0
Tana River,Trypanosomiasis,34
Samburu,Transmissible Venereal Tumor,3
Samburu,Skin Abscess,0
Samburu,Foot and Mouth Disease (FMD),76
Marsabit,Endometritis,17
Samburu,Skin Wound,0
Makueni,Anaplasmosis,17
Samburu,Peste des Petit Ruminants (PPR),286
Makueni,Pneumonia,0
Kwale,Contagious Caprine Pleuropneumonia (CCPP),76
Marsabit,Animal bites,5
Samburu,Contagious Caprine Pleuropneumonia (CCPP),239
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),42
Taita Taveta,Anaplasmosis,0
Vihiga, Retained Afterbirth,1
Makueni,Lumpy Skin Disease (LSD),12
Taita Taveta,East Coast Fever(ECF),2
Taita Taveta,Foot rot,0
Taita Taveta,Anaplasmosis,0
Taita Taveta,Trypanosomiasis,60
Samburu,Peste des Petit Ruminants (PPR),312
Makueni,Foot and Mouth Disease (FMD),4
Tharaka-Nithi,Foot and Mouth Disease (FMD),1
West Pokot,East Coast Fever(ECF),6
West Pokot,Retain Placenta,2
Samburu,Contagious Caprine Pleuropneumonia (CCPP),800
Makueni,Rabies,300
Busia,Trypanosomiasis,1
West Pokot,Helminthiasis,0
Taita Taveta,East Coast Fever(ECF),0
Makueni,East Coast Fever(ECF),0
Laikipia,Animal bites,2000
Isiolo,Contagious Caprine Pleuropneumonia (CCPP),22
Isiolo,Pneumonia,0
Busia,Pink Eye,3
Isiolo,0,0
Makueni,Pneumonia,12
Taita Taveta,East Coast Fever(ECF),1
Samburu,Enterotoxaemia,10
Busia,Helminthiasis,3
Bomet,Lumpy Skin Disease (LSD),21
Makueni,Animal bites,5
Vihiga,Mastitis ,1
Isiolo,Helminthiasis,78
Makueni,Pneumonia,6
Vihiga,Animal bites,6
Taita Taveta,Anaplasmosis,0
Narok,East Coast Fever(ECF),88
Garissa,Contagious Caprine Pleuropneumonia (CCPP),185
Marsabit,Mastitis ,26
Busia,Downer Cow Syndrome,2
Vihiga,Babesiosis,0
Makueni,Foot and Mouth Disease (FMD),0
Garissa,Babesiosis ,87
Vihiga,Animal bites,6
Kwale,Anaplasmosis,0
Bungoma,Foot and Mouth Disease (FMD),9
Taita Taveta,Pneumonia,4
Bungoma,Foot and Mouth Disease (FMD),9
Bungoma,Foot and Mouth Disease (FMD),3
Kwale,Trypanosomiasis,0
Kwale,East Coast Fever(ECF),0
Taita Taveta,Heart Water,14
Taita Taveta,East Coast Fever(ECF),1
Kwale,Trypanosomiasis,0
Kwale,Trypanosomiasis,0
Taita Taveta,Trypanosomiasis,17
Kwale,Anaplasmosis,0
Tana River,Pneumonia,9
Busia,Trypanosomiasis,2
Taita Taveta,Mange,2
Busia,Lumpy Skin Disease (LSD),6
Kwale,Pneumonia,0
Taita Taveta,East Coast Fever(ECF),0
Kwale,Anaplasmosis,0
Makueni,Lumpy Skin Disease (LSD),2
Samburu,Contagious Bovine Pleuropneumonia (CBPP),15
Taita Taveta,Trypanosomiasis,2
Samburu,Photosensitivity ,1
Taita Taveta,Coccidosis,15
Marsabit,Haemorrhagic septicemia,12
Marsabit,Peste des Petit Ruminants (PPR),40
Makueni,Myasis,0
Marsabit,Rabies,3
Samburu,Mange,1
Taita Taveta,Orf Virus,54
Taita Taveta,East Coast Fever(ECF),1
Samburu,Rhinitis,1
Samburu,Sprain ,52
Taita Taveta,Helminthiasis,1
Makueni,Anaplasmosis,1
Makueni,Anaplasmosis,1
Vihiga,Mastitis ,0
Taita Taveta,Trypanosomiasis,2
Busia,Lumpy Skin Disease (LSD),114
West Pokot,East Coast Fever(ECF),5
Taita Taveta,Anaplasmosis,1
Taita Taveta,Canine Distemper (CD),0
Marsabit,Helminthiasis,7
Tana River,Helminthiasis,0
Taita Taveta,Black Quarter,1
Taita Taveta,Foot Rot,4
Makueni,Foot and Mouth Disease (FMD),4
Samburu,Ephemeral Fever ,25
Tana River,Trypanosomiasis,0
Busia,Anaplasmosis,1
Taita Taveta,East Coast Fever(ECF),2
Tana River,Pneumonia,0
Tana River,Pneumonia,8
Tana River,Helminthiasis,0
Taita Taveta,East Coast Fever(ECF),0
Tana River,Trypanosomiasis,0
Tana River,Helminthiasis,0
Tana River,Trypanosomiasis,0
Tana River,Trypanosomiasis,1
Tana River,Pneumonia,0
Tana River,Pneumonia,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Helminthiasis,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Pneumonia,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Pneumonia,0
Samburu,Actinobacillosis,0
Taita Taveta,Animal bites,0
Vihiga,Helminthiasis,1
Vihiga,Helminthiasis,0
Vihiga,Helminthiasis,5
Taita Taveta,Trypanosomiasis,1
Taita Taveta,East Coast Fever(ECF),0
Busia,Dystocia ,3
Tana River,Pneumonia,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
Taita Taveta,Coccidosis,1
Taita Taveta,Trypanosomiasis,3
Makueni,Suspected Fmd ,2
Taita Taveta,Helminthiasis,1
Taita Taveta,Trypanosomiasis,4
Taita Taveta,East Coast Fever(ECF),1
Taita Taveta,Pneumonia,5
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,Black Quarter,1
Makueni,Trypanosomiasis,1
Taita Taveta,East Coast Fever(ECF),1
Tharaka-Nithi,Lumpy Skin Disease (LSD),0
Marsabit,Peste des Petit Ruminants (PPR),53
Makueni,Foot and Mouth Disease (FMD),2
Busia,Lumpy Skin Disease (LSD),3
Taita Taveta,East Coast Fever(ECF),3
Taita Taveta,Helminthiasis,0
Taita Taveta,Trypanosomiasis,2
Vihiga,Helminthiasis,0
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,Acute Trypanosomiasis,0
Vihiga,Mastitis,1
Taita Taveta,Trypanosomiasis,1
Taita Taveta,Acute Trypanosomiasis,2
Taita Taveta,Acute Trypanosomiasis,0
Makueni,Lumpy Skin Disease (LSD),2
Taita Taveta,Acute Trypanosomiasis,2
Kwale,Helminthiasis,12
Taita Taveta,Pneumonia,2
Taita Taveta,Trypanosomiasis,1
Makueni,Foot and Mouth Disease (FMD),1
Tharaka-Nithi,Anthrax,3
West Pokot,Contagious Caprine Pleuropneumonia (CCPP),94
Taita Taveta,Anaplasmosis,3
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,Coccidosis,50
Taita Taveta,East Coast Fever(ECF),2
Taita Taveta,Vaginal Prolapse ,200
Kwale,Contagious Caprine Pleuropneumonia (CCPP),18
Makueni,Foot and Mouth Disease (FMD),3
Marsabit,Peste des Petit Ruminants (PPR),18
Makueni,Foot and Mouth Disease (FMD),18
Kwale,Coccidosis,52
Makueni,Lumpy Skin Disease (LSD),10
Kwale,Helminthiasis,6
Tana River,Contagious Caprine Pleuropneumonia (CCPP),15
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Samburu,Skin Wound ,29
Samburu,Aflatoxin Poisoning ,0
Samburu,Parvovirus,1
Taita Taveta,Mastitis ,2
Tharaka-Nithi,Helminthiasis,0
Taita Taveta,Enteritis ,1
Marsabit,Brucellosis,11
Wajir,Peste des Petit Ruminants (PPR),5000
Marsabit,Footrot,22
Tana River,Contagious Caprine Pleuropneumonia (CCPP),0
